feature,p_value,p_adj
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Viridilinea,0.19931877613305818,0.4241717690192643
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa,0.19892714473438655,0.4241717690192643
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Tepidibacter,0.19879469395174473,0.4241717690192643
d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__SHNF01,0.1988600084445474,0.4241717690192643
d__Bacteria;p__Firmicutes;c__Bacilli;o__CAJFEE01;f__CAJFEE01;g__Harrysmithimonas,0.19863776238411637,0.4241717690192643
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Pelagicoccus,0.19880843757847821,0.4241717690192643
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fabibacter_A,0.1996357916305684,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA3002;g__GCA-2725445,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_C,0.19895854297285778,0.4241717690192643
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-552;g__WRGC01,0.19916098977411442,0.4241717690192643
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NORP154;g__GCA-2400975,0.19944494996403053,0.4241717690192643
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-257,0.1981839921208851,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__CAJQHK01,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Patescibacteria;c__ABY1;o__Buchananbacterales;f__GWA2-38-13;g__VMFR01,0.19960580512818293,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__SUP05,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__NBRC-103111;g__VKM-B-2647,0.1988674789924217,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Casp-alpha2;g__GCA-2722175,0.19956697556917574,0.4241717690192643
d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__DSAD01,0.19963475052339258,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Auritidibacter,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Haloglycomyces,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A,0.19877115709088208,0.4241717690192643
d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__UBA9637;f__GWC2-42-11;g__JACRNI01,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Euzebyales;f__Egibacteraceae;g__SLAO01,0.19901526896089153,0.4241717690192643
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Thermotomaculales;f__Thermotomaculaceae;g__Thermotomaculum,0.19919946973093686,0.4241717690192643
d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__UBA6163,0.19804949028200228,0.4241717690192643
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__UBA2266,0.19835689734468884,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__QY30,0.19930843057244657,0.4241717690192643
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACRFQ01,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Palsa-1382,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__VMDH01,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__F1-120-MAGs055,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__HGM11417;g__JAAYQN01,0.19856546808869668,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caedimonadales;f__Caedimonadaceae;g__Caedimonas,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Aquicultoria;o__Subteraquimicrobiales;f__Subteraquimicrobiaceae;g__Subteraquimicrobium,0.19944743504157414,0.4241717690192643
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__JABAAC01,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__BJHM01,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_F,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae;g__UBA8403,0.1986573323952684,0.4241717690192643
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,0.19977640695984963,0.4243935997044476
d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__UBA9637;f__UBA9637;g__JACRNJ01,0.19981513176047971,0.42439893878811563
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Parasphingorhabdus,0.19989548992870496,0.42449268743693097
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__S5-A14a,0.20015528754606354,0.4247677322091177
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Propionispira,0.201578965976232,0.4247677322091177
d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium,0.20166094720015396,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Youhaiella,0.2016616892562821,0.4247677322091177
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__SIG381,0.20070567668269138,0.4247677322091177
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema,0.20107474288822,0.4247677322091177
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01,0.2001937845471592,0.4247677322091177
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__BRH-c32,0.2013496213355641,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Psychrosphaera,0.2010740020987931,0.4247677322091177
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__CCY15215,0.20135433824945037,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__CACKTW01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA2365,0.20130336577602861,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__UBA8337,0.20069833586239927,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__PRO6,0.20130336577602861,0.4247677322091177
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Phragmitibacter,0.20169218683820309,0.4247677322091177
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__JADGBM01,0.20095650997518885,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__KK5,0.20057010905599335,0.4247677322091177
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__DRVO01;f__DRVO01;g__Ch71,0.20086916811628142,0.4247677322091177
d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__GCA-2709665;g__JAAXHE01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__JAEUNM01,0.20130336577602861,0.4247677322091177
d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__JABFSX01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__B1-G9,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA12445;g__JACRKD01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__MADRE3,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__PRDV01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Chloroflexota;c__UBA6077;o__UBA6077;f__SHYK01;g__WHTR01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Patescibacteria;c__ABY1;o__JABMQE01;f__JABMQE01;g__JAHIMF01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__UBA10108,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__GCA-2706885,0.2011836836121191,0.4247677322091177
d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__SLO01;g__SLOG01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10015;f__GCA-002753745;g__JACPXN01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Velthaea,0.20117541041822853,0.4247677322091177
d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__GCA-2862225,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__UBA7985;g__CAJQQZ01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Thermopetrobacteraceae;g__Thermopetrobacter,0.20130336577602861,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiococcus,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__UBA1001,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA6796,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__JADIIM01,0.20071566876349878,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__CAIVXW01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__JAFIHQ01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassorhabdomicrobium,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA1149;f__UBA1149;g__SPBQ01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7540;f__UBA7540;g__CADDZC01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Acanthopleuribacterales;f__Acanthopleuribacteraceae;g__GCA-2747255,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__CAIKNB01,0.2016758868988697,0.4247677322091177
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JAEUHH01,0.2018685158875699,0.4249100226656465
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIRDP01,0.2018159043128416,0.4249100226656465
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2463,0.2018573263742143,0.4249100226656465
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Wenyingzhuangia,0.20235362493037465,0.4250151405347654
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Pilimelia,0.2020791718626351,0.4250151405347654
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina,0.2021603963405328,0.4250151405347654
d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__GWA2-37-8;g__XYD2-FULL-39-9,0.20223833353895543,0.4250151405347654
d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__Bipolaricaulales;f__Bipolaricaulaceae;g__DTER01,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Palsa-459,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__JAGLBH01,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__HDS-20,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__JAHKBC01,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__JAGPIS01,0.20206073453508144,0.4250151405347654
d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__Syntrophomonas_A,0.20213716487631903,0.4250151405347654
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__UBA7662;f__UBA7662;g__PNNG01,0.2023325132305494,0.4250151405347654
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__2-02-FULL-62-14,0.20241878095483104,0.42507581307841247
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026,0.20246234063763546,0.4250911200775865
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__SP287,0.20252034053676202,0.42513673492581966
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetovibrionaceae;g__Magnetovibrio,0.20258282634895408,0.4251917487123463
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Bombella,0.20275295188213105,0.4253425859407854
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__JACDHA01,0.20273251403251852,0.4253425859407854
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__SZUA-87,0.20276356891221567,0.4253425859407854
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Microscilla,0.2028165106002445,0.42537750612649705
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__SIO3C6,0.20306567942580875,0.42574772144373496
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans,0.20303494408674977,0.42574772144373496
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Iningainema,0.20316006708347187,0.4258694305523681
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Micromonosporaceae;g__Catenuloplanes,0.20333339169720965,0.42615653624665545
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella,0.20350289650177628,0.4264355349545536
d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__JACNLC01;g__JABHXA01,0.20366567831531787,0.42670034856194594
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella,0.20385581660183327,0.42702237186300024
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Humibacillus,0.20409065106547064,0.42743788965105717
d__Bacteria;p__Myxococcota;c__Bradymonadia;o__UBA4248;f__UBA4248;g__RGIG464,0.20425610279794268,0.4274788437128372
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113;g__GCA-2696965,0.2042529787128631,0.4274788437128372
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__JABDIN01,0.20420281610837784,0.4274788437128372
d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA845,0.20420281610837784,0.4274788437128372
d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__DTU022;f__UBA8154;g__CSSED11-109,0.2043713667531408,0.42764370975661675
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__JACPFV01,0.20463075024520944,0.4276987511369206
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalomonadales;f__Thiohalomonadaceae;g__BW-2,0.20452148250768468,0.4276987511369206
d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__JACRLW01,0.20452148250768468,0.4276987511369206
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__A373,0.20452148250768468,0.4276987511369206
d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__DSPP01;f__WJJR01;g__JACRMA01,0.2046531225576664,0.4276987511369206
d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__Limnochordales_A;f__ZCTH02-B6;g__JACDOI01,0.2046531225576664,0.4276987511369206
d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__BJ22,0.2046531225576664,0.4276987511369206
d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__HRBIN26,0.20478425486289922,0.4278333688309008
d__Bacteria;p__Firmicutes_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__DTU027,0.20479054600182195,0.4278333688309008
d__Bacteria;p__Myxococcota_A;c__UBA796;o__UBA796;f__UBA2385;g__M30B51,0.20494397237676237,0.4280775897800134
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera,0.205018825193798,0.428157632086834
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__VFLI01,0.20523044894932488,0.42838245305035255
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus_C,0.20523613258342402,0.42838245305035255
d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Eremiobacterales;f__Eremiobacteraceae;g__Eremiobacter,0.20523613258342402,0.42838245305035255
d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JACADW01,0.20538072836935545,0.4284807857438383
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__J017,0.205373725383609,0.4284807857438383
d__Bacteria;p__Acidobacteriota;c__Mor1;o__Gp22-AA2;f__Gp22-AA2;g__JAGYID01,0.20539292272260098,0.4284807857438383
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Moranella,0.20550943134279692,0.42864754143754763
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__UBA9547;g__JAAFJZ01,0.205644935127273,0.4288538504789395
d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__SIG220,0.20571017386201482,0.4289135807975118
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__DSM-29158;g__Abyssicoccus,0.20580909995731692,0.42904351680892105
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Niveibacterium,0.20610049730376603,0.4295745737862596
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelistega,0.20626361071232327,0.42968530351020773
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA7930,0.20625018900361694,0.42968530351020773
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Oryzihumus,0.20623769816728513,0.42968530351020773
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae;g__Tissierella,0.20639695952720435,0.4298577370064156
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__PALSA-647,0.2064197392382344,0.4298577370064156
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Alkalibacillaceae;g__Halalkalibacillus_A,0.2065982054258693,0.4301529521391345
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Fervidicella,0.2067465380449959,0.43038533319491157
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gelidibacter,0.2068311855065049,0.4304850815372469
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus,0.2069348153408978,0.43062429612843084
d__Bacteria;p__RBG-13-66-14;c__RBG-13-66-14;o__RBG-13-66-14;f__RBG-13-66-14;g__WJLX01,0.20704060488059312,0.4306914961307333
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01,0.20704060488059312,0.4306914961307333
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__JAHKAL01,0.207224062621368,0.43099663068721084
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Pelovirga,0.2073310045169192,0.43114254310473615
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cribrihabitans,0.20742007458818382,0.4312512460836463
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__JAAYEM01,0.20761859824476186,0.4315088522690192
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__JACPZR01,0.20772806693701418,0.4315088522690192
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__JACCZA01,0.20772806693701418,0.4315088522690192
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__SCVQ01,0.20772806693701418,0.4315088522690192
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__UBA8158,0.20772806693701418,0.4315088522690192
d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Telmatocola,0.20803472403024337,0.4319162029467586
d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__JAHIZU01,0.20803472403024337,0.4319162029467586
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__FEN-672,0.20803472403024337,0.4319162029467586
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Tianweitania,0.2081578983039217,0.4320188716348437
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Paraoerskovia,0.2081578983039217,0.4320188716348437
d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TMED108,0.20825326163253471,0.4321121267191005
d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides,0.20828361694381595,0.4321121267191005
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__Galligastranaerophilus,0.2083134399285766,0.4321121267191005
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia,0.20836692614304622,0.43214658899247954
d__Bacteria;p__CSP1-3;c__CSP1-3;o__CSP1-3;f__CSP1-3;g__VGFA01,0.20844433867207315,0.4321541923291522
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__JABZIP01,0.20843663288603712,0.4321541923291522
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__CAITIQ01,0.2085682109039395,0.4321810853338762
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Proteiniboraceae;g__Proteiniborus,0.2087051742756005,0.4321810853338762
d__Bacteria;p__Aureabacteria;c__SURF-26;o__SURF-26;f__SURF-26;g__R3-B46,0.20882606537932946,0.4321810853338762
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__GCA-2401345,0.20882606537932946,0.4321810853338762
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Chromulinavoraceae;g__SP22,0.20882606537932946,0.4321810853338762
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__GCA-002729875,0.20882606537932946,0.4321810853338762
d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__GCA-2719775,0.20882606537932946,0.4321810853338762
